Name ,address,Longitude,Lattitude,Target
Jalaram Kirana Stores,"Shop Number 1,2, Vishwakarma Paradise, Ambadi Rd, Co - Operative Housing, Sai Nagar, Vasai West, Vasai-Virar, Maharashtra 401202",19.38381954,72.82744074,Grocery
Vedika Kirana And General Store,"Shop No.02 Lourds B Co op Hsg Society, Pareira Nagar, Vasai-Virar, Maharashtra 401208",19.38539858,72.82451481,Grocery
Vardhman Grain Stores,"1, Guruprasad Apartment, Ambadi Circle, Veer Savarkar Nagar, Anand Nagar, Vasai West, Vasai-Virar, Maharashtra 401202",19.38114551,72.82952499,Grocery
J J Store,"Shop No 1, Dindayal Nagar, Vasai West, Vasai-Virar, Maharashtra 401202",19.3816718,72.82875251,Grocery
Nyra Mini Market,"Shop No. 6&7, Dream House, Vasai Rd E, opp. K. T. Nagar, Sai Nagar, Maharashtra 401202",19.38195627,72.82781728,Grocery
Kokan Mart,"Shop G/02, Dream House Co Op Hsc Society Ltd, Sai Nagar, Vasai West, Mumbai, Maharashtra 401202",19.38184368,72.82690465,Grocery
Swastik Foods,"Shop No-130, 131, Dattatray Shopp, Dindayal Nagar, Vasai West, Mumbai, Maharashtra 401202",19.38086449,72.82848582,Grocery
Padmavati Stores,"9RMJ+67P, Vishal Nagar, Vasai West, Vasai-Virar, Maharashtra 401205",19.38319227,72.83072814,Grocery
Shri Parmar Treding,"Shop No 13, Vasai Station Road, Near Tungareshwar Sweet & Farsan, Vishal Nagar, Vasai West, Vasai-Virar, Mumbai, Maharashtra 401202",19.38323276,72.83088908,Grocery
Pritya Foods,"Shop No. B12, Shiv Shakti Apt, Anand Nagar, Navghar, Vasai-Virar, Maharashtra 401202",19.38021675,72.83241257,Grocery
Aryan Fruit Center,"1, Ambadi Rd, opp. Sarshwat Bank, Sai Nagar, Naigaon West, Vasai-Virar, Maharashtra 401202",19.38493556,72.82700188,Grocery
VVSB Laxmi Narayan General Store,"Shop No 3 Aanand Nager, Nalasopara - Vasai Link Rd, Vasai-Virar, Maharashtra 401208",19.37974455,72.82924383,Grocery
Om Supermarket,"Shop number 4 Surngar Building, K t Village, Vasai West, Vasai-Virar, Maharashtra 401202",19.38218273,72.82350982,Grocery
Krishna General stores,"Shop no.1,, Hari Om Nagar, Vishal Nagar, Vasai West, Maharashtra 401202",19.38287474,72.82395825,Grocery
Jay Ambe Super Market,"Shop No 4, Neminath Classic Building, Suncity Rd, near Idbi Atm, Vasai West, Thane, Maharashtra 401202",19.38348704,72.81572387,Grocery
Sudhir General Store,"00 Suncity Vasai, Suncity Rd, Vasai West, Mumbai, Maharashtra 401202",19.3846408,72.81568095,Grocery
Mateshwari kirana store,"daffodil, Mirchandani garden, 100ft road, Suncity Rd, Vasai-Virar, Maharashtra 401202",19.38398801,72.81555757,Grocery
Chamunda General Stores,"2, Lawrence Lopes Niketan, Manickpur, Vasai West, Vasai-Virar, Maharashtra 401202",19.37744992,72.82778844,Grocery
Laxmi Dry Fruit,"Shop No 8, Yash Apartment, Vishal Nagar, Vasai West, Palghar, near Panchvati Hotel, Thane, Maharashtra 401202",19.38911659,72.8272292,Grocery
Sun City Super Market,"Shop Number.3, Sri Darshan Apartment Ambadi Road, near Kalpana Life line hospital, Vasai West, Maharashtra 401202",19.39083704,72.82546967,Grocery
