Name,Long,Lat,Type,Rating
Jalaram Kirana Stores,19.38381954,72.82744074,Grocery,3
Vedika Kirana And General Store,19.38539858,72.82451481,Grocery,4
Vardhman Grain Stores,19.38114551,72.82952499,Grocery,4
J J Store,19.3816718,72.82875251,Grocery,5
Nyra Mini Market,19.38195627,72.82781728,Grocery,4
Kokan Mart,19.38184368,72.82690465,Grocery,3
Swastik Foods,19.38086449,72.82848582,Grocery,2
Padmavati Stores,19.38319227,72.83072814,Grocery,2
Shri Parmar Treding,19.38323276,72.83088908,Grocery,3
Pritya Foods,19.38021675,72.83241257,Grocery,4
Aryan Fruit Center,19.38493556,72.82700188,Grocery,5
VVSB Laxmi Narayan General Store,19.37974455,72.82924383,Grocery,2
Om Supermarket,19.38218273,72.82350982,Grocery,1
Krishna General stores,19.38287474,72.82395825,Grocery,4
Jay Ambe Super Market,19.38348704,72.81572387,Grocery,5
Sudhir General Store,19.3846408,72.81568095,Grocery,3
Mateshwari kirana store,19.38398801,72.81555757,Grocery,2
Chamunda General Stores,19.37744992,72.82778844,Grocery,2
Laxmi Dry Fruit,19.38911659,72.8272292,Grocery,2
Sun City Super Market,19.39083704,72.82546967,Grocery,2
Murugan Stores,19.38605217,72.82732144,Grocery,1
Save Mart,19.38673628,72.83565646,Grocery,2
SuperMarketWala,19.37663324,72.81736486,Grocery,3
Adarsh Super Market,19.37259926,72.80364452,Grocery,3
Surana Super Market,19.41469878,72.83557354,Grocery,3
K.D General Store,19.40887026,72.83900677,Grocery,4
Shree Balaji Food,19.40368919,72.84312664,Grocery,4
Ganesh super market,19.40271772,72.84209667,Grocery,5
Sahakari Bhandar,19.39204901,72.81981889,Grocery,4
Arsh Super Market,19.38305314,72.8140969,Grocery,3
Sai datt super market,19.41678509,72.83603119,Grocery,2
Shri Balaji Supermarket,19.40779059,72.84175318,Grocery,1
Loyola's Super Market,19.38530216,72.8274482,Grocery,3
Parmeshwar Kripa,19.40689111,72.84223001,Grocery,2
Hemant Enterprises,19.40779059,72.84175318,Grocery,4
TRIBHUVAN BABULNATH DUBEY PROVISION & GENERAL STORES,19.39789606,72.82554087,Grocery,3
SHREENATHJI TRADERS,19.39204901,72.8303092,Grocery,4
Arun Store,19.40014487,72.82935553,Grocery,4
Pawan Kirana Stores And Sabji Bhandar,19.4037429,72.84079951,Grocery,3
Hare Krishna Super Market,19.40689111,72.83793852,Grocery,3
AMBIKA PROVISION AND GENERAL STORES,19.35831194,72.80980541,Grocery,3
Shah Saffron,19.39273692,72.83957204,Grocery,4
Riddhi General Stores,19.38930654,72.82559017,Grocery,5
New Siddharth Sales,19.39290934,72.83009628,Grocery,5
Krishna General stores,19.38347711,72.82413105,Grocery,5
Prasaar Foods,19.39848114,72.84169063,Grocery,2
Shilpa Grain Stores,19.38554694,72.82692913,Grocery,2
Shree Maleshwar Traders,19.38210591,72.83152107,Grocery,2
Jadav & Son's,19.39511116,72.85011687,Grocery,2
Urvi Vegitables,19.39818761,72.84140505,Grocery,2
Aai Mata General Stores,19.38801656,72.82780994,Grocery,2
JAY AMBE SUPER MARKET,19.39538406,72.82480586,Grocery,3
Hariom Super Market,19.39281915,72.85974374,Grocery,3
Ashapura Super Market,19.41045437,72.83658006,Grocery,3
Chamunda General Stores,19.37779364,72.82762237,Grocery,3
VVSB Laxmi Narayan General Store,19.37957934,72.82935506,Grocery,4
Jalaram Grain Store,19.38208492,72.82710739,Grocery,5
MAJEESHA SUPER MARKET,19.41005709,72.84704104,Grocery,5
jayhind vegetables,19.40244739,72.83957377,Grocery,5
Rajwadi General Store,19.40416987,72.83287688,Grocery,5
New Good Luck Grain Store,19.38928444,72.82556343,Grocery,4
Shree Gupta Kirana Store,19.40481911,72.84522143,Grocery,3
Shri Parvathi Store,19.39566938,72.85687178,Grocery,2
Mataji Super Market,19.37369071,72.81446223,Grocery,2
Mataji traders,19.40744712,72.83871454,Grocery,3
Nyra Mini Market,19.38285212,72.82782772,Grocery,3
ANKIT GENERAL STORE,19.40371355,72.84527087,Grocery,1
Bablu Nishad Store,19.3956404,72.85588977,Grocery,1
Shop Tasty,19.37687037,72.82477331,Grocery,3
Umaji Super Market,19.40067215,72.84436535,Grocery,1
DUBEY GROCERY STORE,19.4247152,72.87695936,Grocery,2
Adiba Khan Kirana Store,19.39851497,72.85681597,Grocery,2
Fine Choice Grocery Store,19.40699756,72.82829769,Grocery,3
Sandeep Furit Shop,19.40416414,72.83636578,Grocery,3
Mp Ganral Store,19.40554038,72.84022816,Grocery,4
New Good Luck Grain Store,19.39048211,72.82460697,Grocery,3
DMart - Vasai East,19.40626729,72.82469279,Grocery,5
Low Price Supermarket,19.41970516,72.84057147,Grocery,5
Kwality Bazar,19.42682839,72.82761103,Grocery,5
Icchapurti super mart,19.41743861,72.8252936,Grocery,3
