Name,Long,Lat,Rating,Type
Nature's Fuel & Foodzone,19.3839229,72.82926931,4,Food
Pic A Bite - Vartak Branch,19.38386217,72.82926462,3,Food
Chai Nation,19.38423537,72.82956771,4,Food
Souffle Cake Shop Vasai station,19.38344005,72.83043446,5,Food
Ross exotic,19.3834021,72.83042172,4,Food
Tungareshwar Sweet & Farsan,19.38344764,72.83027688,5,Food
Jumboking Vadapav,19.38351089,72.8308777,4,Food
Dhuri Food Plaza,19.38358806,72.83082673,2,Food
Vasai Amrittulya,19.38383265,72.83046089,5,Food
Iceburg Cafe,19.38410285,72.83060728,3,Food
Café de knight,19.38349368,72.82887869,5,Food
Charcoal Eats,19.38487296,72.83056828,4,Food
Tasty Talks,19.38419398,72.82944249,3,Food
Snacks Point,19.38377952,72.82957289,5,Food
Celebrity west,19.38314293,72.82821008,4,Food
Barrel cafe,19.38343043,72.82882229,5,Food
Jay Ambe Fast Food Centre,19.38318203,72.82956037,3,Food
Shankar pav bhaji center,19.38449561,72.82751825,5,Food
Express Biryani,19.3832436,72.82975217,4,Food
Abhiraj Family Restaurant,19.38322251,72.83046371,3,Food
Dosa n More,19.38199613,72.82865365,5,Food
Baskin Robbins,19.38417659,72.82697714,4,Food
Sangeeta Panipuri Center,19.38472313,72.82721128,5,Food
Kathmandu momos and Chinese Fast Food,19.39170232,72.82593248,3,Food
Hotel Trupti Family Restaurant & Bar,19.3895973,72.82531021,4,Food
Kokate's Restaurant,19.38896984,72.82410858,5,Food
Atharva Food Corner Veg and Non Veg,19.38462561,72.82442597,5,Food
True Taste,19.37920086,72.82712964,4,Food
Rolls On Coals,19.38650804,72.82749442,4,Food
BUNTY's Fun & Food,19.39050865,72.82376062,5,Food
FOOD FANTASIE,19.38412681,72.82478766,5,Food
Hungry souls,19.38463285,72.82437996,5,Food
Jay Bholenath FastFood & Cold Drink Centre,19.3817788,72.82710509,5,Food
Food Darbar,19.40873901,72.83970377,5,Food
Foodzso Restaurant and Takeaway,19.3814424,72.83178622,5,Food
food garage vasai,19.38283983,72.82323935,5,Food
Farmhouse Global Cuisine Restaurant,19.38764721,72.8265339,4,Food
Tip top food court,19.40434892,72.83955157,4,Food
Vasai Local Restaurant,19.40111789,72.84388074,4,Food
Bistro Box Vasai,19.39350116,72.84653381,5,Food
Faasos Vasai,19.39333924,72.82481864,4,Food
Famous Dabeli,19.38289497,72.82619193,5,Food
Trupti chinese corner,19.39107232,72.82353118,5,Food
Unique Foods,19.38597164,72.82430366,5,Food
Kung Fu Cuisine,19.38382643,72.82813186,5,Food
Alfa Shawarma Centre,19.40473037,72.83935332,4,Food
Deva's Kitchen,19.3889426,72.8259048,4,Food
THE KAPITAL KITCHEN RESTAURANT,19.37968207,72.82456382,3,Food
Pink Salt Cafe,19.37813404,72.827441,4,Food
Royal kitchen,19.38582577,72.82442738,4,Food
BLU SPICE - Multicuisine Family Restaurant,19.38606866,72.82473852,4,Food
Madhuram,19.37959085,72.82805336,4,Food
Goan Food,19.40463553,72.84859909,2,Food
Agri Tadka,19.38049923,72.82151044,4,Food
New Kathiyawadi dhaba (Veg Restaurant),19.37147836,72.81413503,4,Food
Kubera Veg Restaurant,19.38015635,72.828914,4,Food
ToDimSumLand,19.38480435,72.82522563,4,Food
Farmhouse Global Cuisine Restaurant,19.38769639,72.826414,4,Food
Tasty Fast Food,19.38094544,72.83099451,3,Food
Tenuj Food,19.37419774,72.79349719,5,Food
Vinayak fast Food,19.39124807,72.82698542,3,Food
Hot Spot,19.37867313,72.82402559,4,Food
St. Michael'S Chinese And More,19.37892382,72.82824375,4,Food
Shree Ganesh Fast Food,19.36986739,72.81906646,4,Food
Gold Coin Restaurant,19.38094541,72.82825844,4,Food
Sip & Dine Family Resto Bar,19.40484158,72.82874059,4,Food
THE HUNGERZ HUB,19.38395412,72.82140783,4,Food
Hot & Fast,19.40473309,72.83927098,5,Food
Dwar Restaurant N Bar,19.38254524,72.82985594,4,Food
R.V Food Express,19.3854319,72.8248521,4,Food
Hotel Malvani Katta,19.38313617,72.83090929,3,Food
Haridwar pure veg restaurant,19.38257953,72.83010462,4,Food
EAST COAST,19.39150688,72.84572785,3,Food
Seema food vasai,19.34296199,72.80439691,4,Food
Catering In Vasai,19.38860737,72.82858378,5,Food
Hotel Mauli,19.38453892,72.83199555,4,Food
Behrouz Biryani Vasai,19.39154225,72.82489306,3,Food
Pleasure Point Family Restaurant & Bar,19.33650387,72.80786443,3,Food
Kokum,19.36510781,72.81522745,4,Food
Rolls On Coals,19.38663704,72.82742116,4,Food
FOOD FANTASIE,19.38368474,72.82484708,5,Food
Bombay Bitings,19.3851478,72.8251226,4,Food
Santosh Misal Pav,19.381727,72.82774044,4,Food
Ahare Kolkata Vasai,19.38947936,72.82600237,4,Food
Arun Frankie,19.38460794,72.82432705,3,Food
Vrindavan Bar & Restaurant,19.38361611,72.83029228,4,Food
Hotel Mahesh,19.3840007,72.8304854,3,Food
"Diamond Frankie, Vasai",19.40427815,72.83706308,1,Food
Apratim Restaurant,19.37891164,72.82363666,5,Food
BLU SPICE - Multicuisine Family Restaurant,19.38627956,72.82466663,4,Food
Nashtawaala,19.38429592,72.83080352,5,Food
Chopstick Chinese Vasai,19.38150259,72.82698406,5,Food
Saurashtra Farsan Mart,19.38174549,72.82715572,4,Food
ToDimSumLand,19.38559136,72.82500995,4,Food
Chaitanya's BIRYANI HOUSE,19.38522702,72.82385124,5,Food
DON MISALWALE,19.38538895,72.82440914,4,Food
Bhukkad_Mafia,19.38636052,72.82376541,4,Food
Jagdamba Chaat Wala,19.37927599,72.82947315,3,Food
Zeal Skybar,19.36657795,72.81550905,4,Food
