Name ,Longitude,Lattitude,Rating ,Target
A STAR FASHION BOUTIQUE,19.38430428,72.8277935,4.3,Shopping
Asuntha Tailoring & Alterations,19.38583987,72.82864368,4.9,Shopping
Glam By Neha Fashion,19.38325077,72.82831717,4.1,Shopping
"U.S. Polo Assn.",19.38289196,72.82863783,3.5,Shopping
Levi's Exclusive Store-Vasai,19.38281856,72.8286897,4.9,Shopping
Klub Fox,19.38268558,72.82861302,2,Shopping
Titan Eyeplus,19.38227379,72.82841243,3.1,Shopping
Titan World,19.38239922,72.82898878,3.7,Shopping
Spykar,19.38282984,72.82877051,3.4,Shopping
Queens Land Fashion,19.38417612,72.82708143,4.3,Shopping
Live Fashion Studio,19.38339681,72.8259071,4.1,Shopping
Fashion Look Men's Wear 2nd Branch,19.38352309,72.82474791,4.8,Shopping
Leela sports,19.38359512,72.82503621,3.4,Shopping
Fashion & Style,19.38439511,72.82453099,4.2,Shopping
Fashion Virus,19.38457595,72.82425582,4.6,Shopping
Prince Mens Wear,19.38000579,72.8252546,5,Shopping
Shivam Fashion,19.38044099,72.82824258,3.6,Shopping
Welcome Sports & Books,19.37955937,72.82813596,3.1,Shopping
Mukesh Shop,19.38033109,72.82876628,3.2,Shopping
Mahadev Watch,19.38017674,72.82861071,3.6,Shopping
FASHION FACTORY,19.38020981,72.83013335,4.6,Shopping
YES MADAM,19.38109881,72.83037089,3.1,Shopping
Femina kids wear,19.38107022,72.83032065,2.7,Shopping
Laxmi Sarees & Dress Materials,19.38118533,72.83042867,1,Shopping
Zodiac Born Baby Store,19.38120049,72.8301513,2.5,Shopping
Beena Collection,19.38128526,72.82999909,4.8,Shopping
M Clothes Shop,19.38131372,72.83034107,2.5,Shopping
Mansi Sarees,19.38134851,72.83036454,3.1,Shopping
Pooja Sarees,19.38136369,72.83055698,4.1,Shopping
Jyoti Kid's & Ladies Wear,19.3813618,72.8306408,4.6,Shopping
Shikha Handloom,19.38131241,72.83074961,3.9,Shopping
Parvati Collection,19.3812618,72.83082069,3.5,Shopping
Navdeep Ladies Wear,19.38123334,72.83089244,2.3,Shopping
Vasai Kaushiki Silks Nx,19.38098612,72.83100884,4.5,Shopping
Dress Me,19.38079129,72.83115637,5,Shopping
Noori,19.38075748,72.83117307,3.6,Shopping
F2 Fashion Forever,19.38121204,72.8304546,3.4,Shopping
A J Fashion,19.38198534,72.83079501,4.8,Shopping
Fashion Mall,19.38633607,72.8294645,3.1,Shopping
Zaif Boutique,19.386288,72.82952753,5,Shopping
Badshah Collection,19.38621463,72.82954899,3.2,Shopping
Fashion Look Men's Wear,19.38617972,72.82960904,5,Shopping
Fashion Fever,19.38611889,72.82959103,3,Shopping
